workerid,trial_type,justification,response,condition
5,one_slider,two butterflies went even if four went to the forest in total and two butterfilies did not go to the city.,0.99,cond4
5,one_slider,one dog did roll the ball for sure,0.03,cond1
5,one_slider,"two lions did buy an egg, even if four in total had and two lions did not buy a cookie.",0.9,cond4
5,one_slider,only 2 lizards jumped on the book.,0.01,cond1
5,one_slider,one of the 2 dinosaurs definitely ate a bug,0.01,cond1
6,one_slider_practice,The Smurf ended buying two cars,0.68,NA
6,one_slider_practice,All the dogs did not jump on the table,0.32,NA
6,one_slider,"Only two frogs jumped over, the other two found it difficult to jump over",0.96,cond4
6,one_slider,There were only two hippos,0.12,cond3
6,one_slider,Two butterflies went to the forest and two went to the city,0.96,cond4
6,one_slider,The brown dog rolled his dog but the white one did not,0.1,cond3
6,one_slider,Two lions bought an egg and two did not buy a cookie,0.91,cond4
6,one_slider,Only two lizards jumped on the book,0.14,cond1
6,one_slider,only one dinosaur ate a fish,0.93,cond2
7,one_slider_practice,because brainy smurf ran out of money after buying two cars so thats all he bought,1,NA
7,one_slider_practice,the third dog did not jump on the table because he was too small,0.03,NA
7,one_slider,because two of the frogs were too small to jump over the rockk,0.97,cond4
7,one_slider,because there are only two hippos,0.02,cond2
7,one_slider,because they both went to the forest initially but only one left and went to the city,0.98,cond2
7,one_slider,the first dog did roll his ball,0,cond4
7,one_slider,well technically two lions did buy eggs even though a total of 4 bought eggs and two lions did not buy any cookies,1,cond4
7,one_slider,because two of the lizards decided not to jump on the book,0.03,cond2
7,one_slider,because one did and only the one did not because he did not like the taste of bugs,0.02,cond1
8,one_slider_practice,he bought 2 cars,1,NA
8,one_slider_practice,one dog didnt jump,0,NA
8,one_slider,the rock was too big,1,cond2
8,one_slider,2 hippos drank,0,cond3
8,one_slider,1 went to the city,0.73,cond2
8,one_slider,1 dog rolled its ball,0.01,cond3
8,one_slider,1 didnt buy a cookie,0.47,cond1
8,one_slider,2 climbed on the book,0.01,cond1
8,one_slider,1 dinosaur ate bugs,0.29,cond1
