workerid,trial_type,justification,response,condition
5,one_slider,The first lion bought a cookie. Only one of the two lions did not buy anything; a cookie nor an egg.,0.01,cond1
5,one_slider,Only two of the four lizards climbed on the book. The other two lizards did not climb the book because they thought it was too high.,0.01,cond1
5,one_slider,Two dinosaurs did not eat bugs because they didn&quotechart like bugs.,0.99,cond3
6,one_slider_practice,The narrator said that the Smurf bought two cars.,0.97,NA
6,one_slider_practice,The third dog did not jump on the table because he was too small.,0.02,NA
6,one_slider,The two smaller frogs thought the rock was too big to jump over.,0.99,cond3
6,one_slider,Two hippos drank milk.,0.02,cond1
6,one_slider,Two butterflies went to the forest and two didn&quotechart go to the city.,0.98,cond4
6,one_slider,One dog rolled their ball,0.01,cond4
6,one_slider,Four lions bought an egg,0.04,cond4
6,one_slider,Two lizards climbed on the book,0.02,cond2
6,one_slider,Four dinosaurs ate fish,0.02,cond4
7,one_slider_practice,The smurf bought 2 cars paying 2 cents per car.,0.99,NA
7,one_slider_practice,The smallest dog did not jump on the table.,0,NA
7,one_slider,All four frogs jumped over the fence. While only 2 of the 4 frogs jumped over the rock.,0.5,cond4
7,one_slider,Only 2 hippos drank milk.,0,cond2
7,one_slider,"Two butterflies went to the city, while the other 2 butterflies stayed home.",1,cond3
7,one_slider,The brown dog rolled its green and orange ball to the edge of the table.,0,cond1
7,one_slider,"Two lions didn&quotechart buy a cookie. But all 4 lions bought an egg, the puppet should have said all 4 lions brought an egg.",0.9,cond4
7,one_slider,Only 2 lizards climbed on the book.,0,cond2
7,one_slider,The puppet is correct. 2 dinosaurs did not eat a bug.,1,cond3
8,one_slider_practice,He spent 4 pennies on the silver car and the yellow car.,0.99,NA
8,one_slider_practice,No the last dog did not jump because he was too small,0,NA
8,one_slider,They both jumped over the fence but the little one did not jump over the rock with the big one,1,cond2
8,one_slider,I only saw two hippos drinking milk.,0,cond1
8,one_slider,The two butterflies could have done with the two that went to the city but they stayed home.,1,cond3
8,one_slider,The first dog clearly did roll the ball.,0,cond1
8,one_slider,Only one lion didn&quotechart buy a cookie.,0,cond1
8,one_slider,"No only two of the lizards jumped on the book, the other two stayed.",0,cond4
8,one_slider,The purple dinosaur ate a lady bug so this isn&quotechart right.,0,cond1
