word,av.distance,overlap,age,child p or d,tokens,semantic class
hot,0.761904762,0,2,directed,21,other
sick,1,0,2,directed,1,other
smell,1,0,2,directed,1,other
nice,1,0,2,directed,114,value
poor,1,0,2,directed,35,value
polar,0,0,2,directed,1,other
okay,1,0,2,directed,1,value
pokey,1,0,2,directed,1,other
smiley,0,0,2,directed,1,other
vicious,1,0,2,directed,1,other
wrong,1,0,2,directed,1,other
bitsy,0,0,2,directed,2,dimension
stripe,0,0,2,directed,1,other
tall,0,0,2,directed,6,dimension
darned,1,0,2,directed,1,other
light,0,0,2,directed,1,other
medical,0,0,2,directed,1,other
cheek,1,0,2,directed,2,other
hungry,0,0,2,directed,1,other
green,0.033333333,1,2,directed,30,color
greed,0,0,2,directed,1,other
clean,0.210526316,0,2,directed,19,other
fresh,0,0,2,directed,10,age
wind,1,0,2,directed,1,other
cute,1,0,2,produced,3,other
just,1,0,2,produced,2,other
yellow,0.25,1,2,produced,12,color
bright,1,0,2,produced,1,other
through,0,0,2,produced,1,other
loll,0,0,2,produced,1,other
wee,0.875,0,2,produced,8,dimension
black,0.666666667,1,2,produced,3,color
pretty,0.333333333,0,2,produced,3,other
wet,1,0,2,produced,3,physical
orange,0.25,0,2,produced,4,color
smile,0,0,2,produced,1,other
real,1,0,2,produced,4,other
brown,0,0,2,produced,21,color
good,0.333333333,0,2,produced,6,value
big,0.831632653,0,2,produced,196,dimension
fat,1,0,2,produced,2,dimension
early,1,0,2,produced,2,other
gray,0,0,2,produced,1,color
fluff,0,0,2,produced,2,other
wooden,0,1,2,produced,5,material
large,0,1,2,produced,1,dimension
bag,0,0,2,produced,2,other
bad,0.117647059,0,2,produced,17,value
fuzz,1,0,2,produced,1,other
small,0,0,2,produced,3,dimension
round,0,0,2,produced,5,shape
mean,0,0,2,produced,1,other
heavy,0,0,2,produced,1,other
old,0.285714286,1,2,produced,14,age
fair,1,0,2,produced,1,other
hard,0,0,2,produced,3,physical
back,0.5,0,2,produced,2,other
bounce,0,0,2,produced,1,other
hair,0,0,2,produced,2,other
dear,1,0,2,produced,18,other
close,0,0,2,produced,1,other
blue,0.19047619,1,2,produced,21,color
eensie,1,0,2,produced,11,dimension
purple,1,1,2,produced,2,color
sun,0,0,2,produced,2,other
jolly,1,0,2,produced,1,other
teeny,0,0,2,produced,1,dimension
stupid,1,0,2,produced,1,other
dutch,0,0,2,produced,1,other
new,0.076923077,1,2,produced,13,age
red,0.09375,1,2,produced,32,color
noise,0,0,2,produced,4,other
posh,0,0,2,produced,2,other
dirt,0,0,2,produced,4,other
french,0,0,2,produced,1,other
merry,1,0,2,produced,1,other
precious,1,0,2,produced,1,other
strong,0,0,2,produced,1,other
dry,0,0,2,produced,1,physical
great,1,0,2,produced,9,value
last,0,1,2,produced,1,other
quiet,0,0,2,produced,1,other
whole,1,0,2,produced,2,other
scare,0,0,2,produced,1,other
naughty,1,0,2,produced,1,other
love,1,0,2,produced,1,other
point,0,0,2,produced,1,other
weensie,0,0,2,produced,11,dimension
tiny,0.45,0,2,produced,40,dimension
open,0.666666667,1,2,produced,3,other
little,0.46,0,2,produced,100,dimension
top,1,0,2,produced,1,other
long,0.142857143,1,2,produced,7,dimension
next,0,0,2,produced,2,other
live,0.333333333,0,2,produced,3,other
white,0.074074074,1,2,produced,27,color
happy,0.888888889,0,2,produced,9,other
shine,0.5,0,2,produced,2,other
clever,1,0,2,produced,5,other
brand,1,0,2,produced,2,other
squash,0,0,2,produced,3,other
sore,1,0,2,produced,1,other
bum,0,0,2,produced,2,other
kind,0,0,2,produced,1,other
fun,0.571428571,0,2,produced,7,other
ripe,0,0,2,produced,2,other
sag,1,0,2,produced,2,other
fellow,0,0,2,produced,1,other
high,0,0,2,produced,2,other
juice,0,0,2,produced,1,other
fashioned,0,0,2,produced,2,other
ready,1,0,2,produced,1,other
sharp,1,0,2,produced,2,physical
pink,0.833333333,0,2,produced,6,color
huge,0,0,2,produced,12,dimension
itsy,1,0,2,produced,2,dimension
cross,0,0,2,produced,2,other
hot,0.5,0,2,produced,4,other
sick,1,0,2,produced,1,other
nice,0.933333333,0,2,produced,30,value
poor,0.407407407,0,2,produced,27,value
still,1,0,2,produced,1,other
pokey,0,0,2,produced,2,other
wrong,0,0,2,produced,1,other
bitsy,0,0,2,produced,2,dimension
tall,0,0,2,produced,5,dimension
squeak,0,0,2,produced,1,other
short,0,0,2,produced,1,dimension
light,1,0,2,produced,5,other
flop,0,0,2,produced,1,other
hungry,0,0,2,produced,1,other
green,0.071428571,1,2,produced,14,color
fresh,0.5,0,2,produced,2,age
cute,0.75,0,3,directed,4,other
soggy,1,0,3,directed,1,other
gold,0,1,3,directed,1,color
less,0,0,3,directed,1,other
TRUE,1,0,3,directed,1,other
yellow,0.125,1,3,directed,8,color
lonely,1,0,3,directed,2,other
bright,0.428571429,0,3,directed,7,other
rough,1,0,3,directed,1,physical
perfect,1,0,3,directed,1,other
just,1,0,3,directed,3,other
rose,0,0,3,directed,1,other
late,1,0,3,directed,2,other
black,0,1,3,directed,4,color
pretty,1,0,3,directed,28,other
nifty,1,0,3,directed,1,other
orange,0,0,3,directed,1,color
sorry,1,0,3,directed,1,other
east,0,0,3,directed,1,other
smart,0.5,0,3,directed,4,other
real,0.916666667,0,3,directed,12,other
brown,0,0,3,directed,10,color
good,0.527777778,0,3,directed,36,value
tubby,0,0,3,directed,1,dimension
big,0.641025641,0,3,directed,78,dimension
fat,0,0,3,directed,4,dimension
dark,1,0,3,directed,1,other
awful,1,0,3,directed,2,value
bit,0,0,3,directed,5,other
silver,0,0,3,directed,1,color
special,1,0,3,directed,1,other
fluff,0,0,3,directed,2,other
fragile,0,0,3,directed,1,other
bad,0,0,3,directed,5,value
fuzz,0,0,3,directed,1,other
small,0.5,0,3,directed,4,dimension
soft,0,0,3,directed,3,physical
round,0,0,3,directed,4,shape
mean,1,0,3,directed,5,other
heavy,0,0,3,directed,2,other
square,0,1,3,directed,1,shape
old,0.1875,1,3,directed,16,age
ole,0,0,3,directed,1,age
hard,0,0,3,directed,1,physical
bounce,0,0,3,directed,1,other
sex,0,0,3,directed,1,other
born,0,0,3,directed,1,other
proper,1,0,3,directed,2,other
cold,0,0,3,directed,2,other
creep,1,0,3,directed,2,other
wonder,1,0,3,directed,2,other
even,1,0,3,directed,2,other
eensie,1,0,3,directed,1,dimension
jolly,1,0,3,directed,2,other
teeny,0.625,0,3,directed,8,dimension
sparkle,0,0,3,directed,1,other
stupid,1,0,3,directed,2,other
horrible,1,0,3,directed,1,value
new,0.555555556,1,3,directed,9,age
red,0,1,3,directed,10,color
full,0,0,3,directed,1,other
pathetic,0,0,3,directed,1,other
little,0.353741497,0,3,directed,147,dimension
free,1,0,3,directed,1,other
french,0,0,3,directed,1,other
merry,1,0,3,directed,1,other
strong,0.333333333,0,3,directed,3,other
super,0,0,3,directed,1,other
shine,0.428571429,0,3,directed,7,other
great,1,0,3,directed,17,value
last,0,1,3,directed,8,other
brilliant,1,0,3,directed,1,value
quiet,0,0,3,directed,1,other
important,0,0,3,directed,1,other
whole,1,0,3,directed,1,other
golden,0,0,3,directed,1,color
naughty,1,0,3,directed,5,other
love,1,0,3,directed,7,other
dulcet,0,0,3,directed,1,other
sweet,1,1,3,directed,4,other
pot,0,0,3,directed,1,other
fancy,1,0,3,directed,1,other
crawl,0,0,3,directed,2,other
fast,0,1,3,directed,1,other
oval,0,0,3,directed,2,shape
next,0.5,0,3,directed,2,other
upstairs,0,0,3,directed,1,other
use,0,0,3,directed,1,other
ancient,1,0,3,directed,1,age
damp,0,0,3,directed,1,physical
comfy,0,0,3,directed,1,other
long,0.142857143,1,3,directed,14,dimension
plastic,0,0,3,directed,2,material
live,0,0,3,directed,2,other
white,0.2,1,3,directed,5,color
empty,1,0,3,directed,1,other
wicked,0,0,3,directed,2,other
flat,0,0,3,directed,1,dimension
head,0,0,3,directed,1,other
sleeved,0,0,3,directed,1,other
flap,0,0,3,directed,1,other
warm,1,0,3,directed,1,other
dead,0,0,3,directed,1,age
spin,0,0,3,directed,1,other
spice,0,0,3,directed,1,other
wool,0,0,3,directed,1,material
plain,0,1,3,directed,1,other
straight,0,0,3,directed,1,other
pretend,0,0,3,directed,1,other
smooth,0,1,3,directed,1,physical
grey,0,0,3,directed,4,color
slippery,1,0,3,directed,1,other
thin,0.333333333,1,3,directed,3,dimension
fun,0.8,0,3,directed,5,other
happy,0.875,0,3,directed,8,other
beautiful,0.727272727,0,3,directed,11,other
weensie,0,0,3,directed,1,dimension
high,0,0,3,directed,2,other
gentle,0,0,3,directed,1,other
tiny,0.333333333,0,3,directed,21,dimension
fashioned,1,0,3,directed,1,other
ready,1,0,3,directed,1,other
sharp,0,0,3,directed,1,physical
pink,0.333333333,0,3,directed,3,color
huge,0.2,0,3,directed,5,dimension
clever,0,0,3,directed,1,other
cross,0,0,3,directed,3,other
hot,0.357142857,0,3,directed,14,other
cosy,0,0,3,directed,1,other
sick,1,0,3,directed,1,other
grand,1,0,3,directed,1,value
nice,0.940298507,0,3,directed,67,value
poor,1,0,3,directed,23,value
blue,0,1,3,directed,5,color
shade,0,0,3,directed,1,other
flip,1,0,3,directed,1,other
neat,0.25,0,3,directed,4,other
rain,0,0,3,directed,1,other
flower,0,0,3,directed,1,other
tall,0,0,3,directed,2,dimension
fierce,0,0,3,directed,1,other
puss,0,0,3,directed,1,other
third,0,0,3,directed,6,other
loud,1,0,3,directed,1,other
cheek,1,0,3,directed,2,other
steady,0,0,3,directed,1,other
fresh,0.333333333,0,3,directed,3,age
green,0.222222222,1,3,directed,9,color
clean,0.5,0,3,directed,2,other
English,0,1,3,directed,1,other
innocent,0,0,3,directed,2,other
weeny,0,0,3,directed,3,dimension
cute,1,0,3,produced,2,other
soggy,1,0,3,produced,1,other
just,1,0,3,produced,3,other
yellow,0.333333333,1,3,produced,3,color
own,0.666666667,0,3,produced,3,other
skin,0,0,3,produced,1,other
still,1,0,3,produced,1,other
nasty,0,0,3,produced,1,value
black,0,1,3,produced,2,color
pretty,0.8,0,3,produced,5,other
sweet,1,1,3,produced,2,other
real,1,0,3,produced,11,other
dandy,0,0,3,produced,2,other
good,0.428571429,0,3,produced,7,value
big,0.793103448,0,3,produced,58,dimension
fat,0.5,0,3,produced,10,dimension
bit,0,0,3,produced,1,other
handy,1,0,3,produced,2,other
wooden,0,1,3,produced,1,material
large,0,1,3,produced,1,dimension
bad,0.25,0,3,produced,8,value
stupid,1,0,3,produced,6,other
quick,0,0,3,produced,1,other
soft,0,0,3,produced,1,physical
round,0,0,3,produced,1,shape
mean,1,0,3,produced,2,other
heavy,0,0,3,produced,1,other
old,0.095238095,1,3,produced,21,age
upstairs,0,0,3,produced,1,other
back,1,0,3,produced,1,other
dumb,1,0,3,produced,1,other
creep,1,0,3,produced,2,other
wonder,1,0,3,produced,1,other
blue,0,1,3,produced,3,color
eensie,1,0,3,produced,2,dimension
horrid,1,0,3,produced,1,value
slick,0,0,3,produced,1,other
teeny,1,0,3,produced,8,dimension
rotten,0,0,3,produced,1,age
new,0.25,1,3,produced,4,age
red,0.5,1,3,produced,4,color
full,0,0,3,produced,1,other
dirt,1,0,3,produced,1,other
small,0,0,3,produced,4,dimension
strong,0.333333333,0,3,produced,3,other
great,1,0,3,produced,1,value
whole,1,0,3,produced,1,other
south,0,0,3,produced,1,other
first,1,0,3,produced,1,other
teenage,0,0,3,produced,1,age
naughty,1,0,3,produced,1,other
love,0,0,3,produced,1,other
weensie,0,0,3,produced,2,dimension
tiny,0.238095238,0,3,produced,21,dimension
wan,1,0,3,produced,1,other
little,0.517857143,0,3,produced,56,dimension
long,0.166666667,1,3,produced,6,dimension
next,0,0,3,produced,1,other
white,0,1,3,produced,1,color
wicked,0.333333333,0,3,produced,3,other
yuck,0,0,3,produced,3,other
flap,0,0,3,produced,1,other
wet,1,0,3,produced,1,physical
crawl,0,0,3,produced,2,other
plain,1,1,3,produced,1,other
flip,1,0,3,produced,1,other
ugly,0,0,3,produced,1,other
silly,0,0,3,produced,1,other
thin,0,1,3,produced,1,dimension
fun,0.75,0,3,produced,8,other
beautiful,0,0,3,produced,1,other
stink,1,0,3,produced,2,other
brown,0,0,3,produced,4,color
high,0,0,3,produced,3,other
fashioned,1,0,3,produced,1,other
ready,1,0,3,produced,3,other
sharp,0,0,3,produced,2,physical
craze,1,0,3,produced,2,other
pink,1,0,3,produced,1,color
huge,0,0,3,produced,4,dimension
itsy,1,0,3,produced,1,dimension
cross,0,0,3,produced,3,other
hot,0.75,0,3,produced,4,other
crummy,1,0,3,produced,1,value
sick,0,0,3,produced,1,other
ordinary,0,0,3,produced,1,other
smell,0,0,3,produced,1,other
nice,0.923076923,0,3,produced,13,value
even,1,0,3,produced,1,other
mess,0,0,3,produced,1,other
bitsy,0,0,3,produced,1,dimension
cheek,1,0,3,produced,1,other
steady,0,0,3,produced,3,other
wink,0,0,3,produced,2,other
green,0,1,3,produced,4,color
clean,0,0,3,produced,5,other
wine,0,0,3,produced,1,other
weeny,0,0,3,produced,6,dimension
cute,1,0,4,directed,8,other
chinese,1,0,4,directed,1,other
less,0,0,4,directed,1,other
slime,0,0,4,directed,1,physical
yellow,0,1,4,directed,2,color
front,0,0,4,directed,1,other
bright,1,0,4,directed,1,other
skin,0,0,4,directed,4,other
slow,0,1,4,directed,1,other
just,0.666666667,0,4,directed,6,other
young,0,1,4,directed,1,age
late,1,0,4,directed,3,other
jam,0,0,4,directed,1,other
black,0,1,4,directed,2,color
pretty,0.947368421,0,4,directed,19,other
orange,0.4,0,4,directed,5,color
east,0,0,4,directed,1,other
smart,0,0,4,directed,3,other
real,1,0,4,directed,15,other
brown,0,0,4,directed,3,color
good,0.3,0,4,directed,20,value
big,0.7,0,4,directed,50,dimension
fat,0,0,4,directed,6,dimension
awful,1,0,4,directed,3,value
bit,0,0,4,directed,1,other
silver,0,0,4,directed,1,color
cool,0.333333333,0,4,directed,3,other
fluff,0,0,4,directed,2,other
correct,1,0,4,directed,1,other
bad,0,0,4,directed,6,value
small,1,0,4,directed,4,dimension
soft,0.333333333,0,4,directed,3,physical
mean,1,0,4,directed,2,other
heavy,1,0,4,directed,1,other
square,0,1,4,directed,1,shape
old,0.428571429,1,4,directed,7,age
chunk,1,0,4,directed,1,other
hard,0,0,4,directed,1,physical
back,0,0,4,directed,2,other
dead,0,0,4,directed,1,age
dumb,0,0,4,directed,1,other
dear,1,0,4,directed,1,other
special,1,0,4,directed,1,other
blue,0.5,1,4,directed,6,color
purple,0,1,4,directed,1,color
crust,0,0,4,directed,2,other
jolly,1,0,4,directed,3,other
teeny,0.666666667,0,4,directed,3,dimension
rotten,0.5,0,4,directed,2,age
health,0,0,4,directed,1,other
new,0.25,1,4,directed,8,age
bird,0,0,4,directed,1,other
red,0.166666667,1,4,directed,6,color
dirt,1,0,4,directed,1,other
wild,0,0,4,directed,1,other
busy,1,0,4,directed,1,other
strong,0,0,4,directed,3,other
shine,0.25,0,4,directed,4,other
great,0.9,0,4,directed,10,value
central,0,0,4,directed,1,other
quiet,0,0,4,directed,1,other
american,0.5,0,4,directed,2,other
loud,0,0,4,directed,1,other
first,0,0,4,directed,1,other
cheese,0.666666667,0,4,directed,3,other
naughty,1,0,4,directed,1,other
love,1,0,4,directed,2,other
fancy,0,0,4,directed,1,other
brave,1,0,4,directed,1,other
long,0.25,1,4,directed,16,dimension
thick,0,1,4,directed,2,dimension
little,0.313131313,0,4,directed,99,dimension
wobble,0,0,4,directed,1,other
tiny,0.5,0,4,directed,16,dimension
plastic,0,0,4,directed,1,material
live,0.6,0,4,directed,5,other
shiver,1,0,4,directed,2,other
white,0.2,1,4,directed,5,color
happy,1,0,4,directed,1,other
flat,0,0,4,directed,1,dimension
yuck,0,0,4,directed,2,other
tawny,0,0,4,directed,1,color
brand,1,0,4,directed,5,other
warm,0,0,4,directed,5,other
crank,0,0,4,directed,1,other
western,0,0,4,directed,1,other
last,0,1,4,directed,6,other
gold,0,1,4,directed,1,color
glitzy,1,0,4,directed,1,other
chatter,0,0,4,directed,2,other
funk,0,0,4,directed,2,other
fleece,0,0,4,directed,1,other
wool,0,0,4,directed,1,material
gentle,0,0,4,directed,1,other
double,0,0,4,directed,1,other
pretend,0,0,4,directed,1,other
grey,0.5,0,4,directed,2,color
silly,0,0,4,directed,1,other
thin,0,1,4,directed,3,dimension
fun,0.857142857,0,4,directed,7,other
glottal,0,0,4,directed,1,other
beautiful,0.666666667,0,4,directed,6,other
sad,0.5,1,4,directed,2,other
juice,0,0,4,directed,1,other
right,1,0,4,directed,1,other
sharp,0,0,4,directed,1,physical
craze,1,0,4,directed,1,other
huge,0.5,0,4,directed,2,dimension
itsy,1,0,4,directed,1,dimension
cross,0,0,4,directed,1,other
same,1,0,4,directed,5,other
hot,0.4,0,4,directed,5,other
sick,1,0,4,directed,1,other
grand,1,0,4,directed,1,value
soap,0,0,4,directed,1,other
nice,1,0,4,directed,33,value
poor,1,0,4,directed,11,value
okay,1,0,4,directed,1,value
sneak,1,0,4,directed,1,other
wrong,1,0,4,directed,2,other
misshapen,0,0,4,directed,1,shape
bitsy,0,0,4,directed,1,dimension
stripe,0,0,4,directed,1,other
tall,0.714285714,0,4,directed,7,dimension
short,0.5,0,4,directed,2,dimension
natural,0,0,4,directed,1,other
light,0.666666667,0,4,directed,3,other
clear,0,0,4,directed,2,other
cheek,1,0,4,directed,6,other
craft,1,0,4,directed,1,other
green,0.090909091,1,4,directed,11,color
clean,0,0,4,directed,3,other
English,0.333333333,1,4,directed,3,other
alright,0.666666667,0,4,directed,3,value
fresh,1,0,4,directed,2,age
left,0,0,4,directed,1,other
weeny,0,0,4,directed,1,dimension
cute,0,0,4,produced,1,other
naughty,0,0,4,produced,1,other
old,0.066666667,1,4,produced,15,age
ole,0,0,4,produced,1,age
just,1,0,4,produced,1,other
cheese,0,0,4,produced,1,other
sweet,0,1,4,produced,5,other
back,0,0,4,produced,1,other
yellow,0.333333333,1,4,produced,3,color
cross,0,0,4,produced,1,other
blue,1,1,4,produced,2,color
awful,1,0,4,produced,1,value
bright,0,0,4,produced,2,other
right,0,0,4,produced,1,other
through,0,0,4,produced,1,other
tiny,0,0,4,produced,9,dimension
dear,1,0,4,produced,1,other
sharp,0,0,4,produced,1,physical
next,0,0,4,produced,1,other
open,0,1,4,produced,1,other
special,1,0,4,produced,2,other
pink,0,0,4,produced,1,color
teeny,0.2,0,4,produced,5,dimension
little,0.568181818,0,4,produced,44,dimension
busy,0.666666667,0,4,produced,3,other
lemon,0,0,4,produced,1,other
nice,0.875,0,4,produced,16,value
tough,0,0,4,produced,1,other
wobble,0,0,4,produced,1,other
royal,0,0,4,produced,1,other
slick,1,0,4,produced,1,other
long,0,1,4,produced,4,dimension
jolly,1,0,4,produced,2,other
late,1,0,4,produced,1,other
live,1,0,4,produced,2,other
quiet,0,0,4,produced,1,other
black,0,1,4,produced,1,color
wide,1,0,4,produced,1,dimension
new,0.25,1,4,produced,4,age
cool,1,0,4,produced,1,other
snuggle,0,0,4,produced,1,other
soap,0,0,4,produced,1,other
red,0.142857143,1,4,produced,7,color
wicked,1,0,4,produced,2,other
poor,1,0,4,produced,3,value
brown,0.2,0,4,produced,5,color
head,0,0,4,produced,1,other
good,0.333333333,0,4,produced,3,value
crash,1,0,4,produced,1,other
dirt,0.75,0,4,produced,4,other
big,0.847826087,0,4,produced,46,dimension
brand,1,0,4,produced,3,other
frost,0,0,4,produced,1,other
fun,0,0,4,produced,1,other
fat,0,0,4,produced,4,dimension
boss,0,0,4,produced,1,other
wild,0,0,4,produced,1,other
spare,0,0,4,produced,1,other
french,0,0,4,produced,1,other
same,1,0,4,produced,1,other
own,1,0,4,produced,3,other
quick,0,0,4,produced,1,other
strong,0,0,4,produced,2,other
dead,0.5,0,4,produced,2,age
real,1,0,4,produced,8,other
gray,0,0,4,produced,1,color
great,0.5,0,4,produced,4,value
last,0,1,4,produced,1,other
round,0,0,4,produced,1,shape
even,1,0,4,produced,1,other
smell,0.666666667,0,4,produced,3,other
rowdy,1,0,4,produced,1,other
grey,0,0,4,produced,1,color
hot,0.333333333,0,4,produced,3,other
large,0,1,4,produced,1,dimension
ugly,0,0,4,produced,1,other
bad,0.5,0,4,produced,14,value
stupid,1,0,4,produced,2,other
green,0,1,4,produced,4,color
light,1,0,4,produced,2,other
small,1,0,4,produced,1,dimension
happy,0,0,4,produced,2,other
loud,0,0,4,produced,1,other
undercover,0,0,4,produced,2,other
mean,1,0,4,produced,1,other
